,serum,virus,replicate,concentration,fraction infectivity,cells
68,99C-day-27,pre-depletion,1,0.0001563,0.390452463,very low
69,99C-day-27,pre-depletion,1,3.91E-05,0.768894516,very low
70,99C-day-27,pre-depletion,1,9.77E-06,0.889105761,very low
71,99C-day-27,pre-depletion,1,2.44E-06,0.993404068,very low
72,99C-day-27,pre-depletion,2,0.04,9.34E-06,very low
73,99C-day-27,pre-depletion,2,0.01,9.10E-06,very low
74,99C-day-27,pre-depletion,2,0.0025,5.91E-06,very low
75,99C-day-27,pre-depletion,2,0.000625,0.029499383,very low
76,99C-day-27,pre-depletion,2,0.0001563,0.373156792,very low
77,99C-day-27,pre-depletion,2,3.91E-05,0.740104088,very low
78,99C-day-27,pre-depletion,2,9.77E-06,0.898168095,very low
79,99C-day-27,pre-depletion,2,2.44E-06,0.989117115,very low
80,99C-day-27,post-depletion,1,0.04,0.123550229,very low
81,99C-day-27,post-depletion,1,0.01,0.221147553,very low
82,99C-day-27,post-depletion,1,0.0025,0.294048336,very low
83,99C-day-27,post-depletion,1,0.000625,0.389036523,very low
84,99C-day-27,post-depletion,1,0.0001563,0.729618174,very low
85,99C-day-27,post-depletion,1,3.91E-05,0.88276477,very low
86,99C-day-27,post-depletion,1,9.77E-06,0.918398743,very low
87,99C-day-27,post-depletion,1,2.44E-06,1.057594545,very low
88,99C-day-27,post-depletion,2,0.04,0.118363112,very low
89,99C-day-27,post-depletion,2,0.01,0.203285339,very low
90,99C-day-27,post-depletion,2,0.0025,0.256510268,very low
91,99C-day-27,post-depletion,2,0.000625,0.39794271,very low
92,99C-day-27,post-depletion,2,0.0001563,0.709768994,very low
93,99C-day-27,post-depletion,2,3.91E-05,0.877207282,very low
94,99C-day-27,post-depletion,2,9.77E-06,0.877723146,very low
95,99C-day-27,post-depletion,2,2.44E-06,0.972814049,very low
96,108C-day-18,pre-depletion,1,0.04,1.04E-05,very low
97,108C-day-18,pre-depletion,1,0.01,2.77E-06,very low
98,108C-day-18,pre-depletion,1,0.0025,9.05E-06,very low
99,108C-day-18,pre-depletion,1,0.000625,0.000611196,very low
100,108C-day-18,pre-depletion,1,0.0001563,0.141993291,very low
101,108C-day-18,pre-depletion,1,3.91E-05,0.593640038,very low
102,108C-day-18,pre-depletion,1,9.77E-06,0.802114311,very low
103,108C-day-18,pre-depletion,1,2.44E-06,0.8506144,very low
104,108C-day-18,pre-depletion,2,0.04,9.34E-06,very low
105,108C-day-18,pre-depletion,2,0.01,4.88E-06,very low
106,108C-day-18,pre-depletion,2,0.0025,5.91E-06,very low
107,108C-day-18,pre-depletion,2,0.000625,0.000575461,very low
108,108C-day-18,pre-depletion,2,0.0001563,0.120432442,very low
109,108C-day-18,pre-depletion,2,3.91E-05,0.559993326,very low
110,108C-day-18,pre-depletion,2,9.77E-06,0.740051292,very low
111,108C-day-18,pre-depletion,2,2.44E-06,0.83214383,very low
112,108C-day-18,post-depletion,1,0.04,0.021221388,very low
113,108C-day-18,post-depletion,1,0.01,0.063682233,very low
114,108C-day-18,post-depletion,1,0.0025,0.153901804,very low
115,108C-day-18,post-depletion,1,0.000625,0.341162833,very low
116,108C-day-18,post-depletion,1,0.0001563,0.618785509,very low
117,108C-day-18,post-depletion,1,3.91E-05,0.738959083,very low
118,108C-day-18,post-depletion,1,9.77E-06,0.78475933,very low
119,108C-day-18,post-depletion,1,2.44E-06,0.861639077,very low
120,108C-day-18,post-depletion,2,0.04,0.00962105,very low
121,108C-day-18,post-depletion,2,0.01,0.064094982,very low
122,108C-day-18,post-depletion,2,0.0025,0.157462761,very low
123,108C-day-18,post-depletion,2,0.000625,0.335778076,very low
124,108C-day-18,post-depletion,2,0.0001563,0.564162024,very low
125,108C-day-18,post-depletion,2,3.91E-05,0.797642783,very low
126,108C-day-18,post-depletion,2,9.77E-06,0.790234654,very low
127,108C-day-18,post-depletion,2,2.44E-06,0.896228082,very low
128,120C-day-10,pre-depletion,1,0.04,1.20E-05,very low
129,120C-day-10,pre-depletion,1,0.01,4.59E-06,very low
130,120C-day-10,pre-depletion,1,0.0025,-2.73E-06,very low
131,120C-day-10,pre-depletion,1,0.000625,1.04E-03,very low
132,120C-day-10,pre-depletion,1,0.0001563,4.54E-02,very low
133,120C-day-10,pre-depletion,1,3.91E-05,4.31E-01,very low
134,120C-day-10,pre-depletion,1,9.77E-06,7.52E-01,very low
135,120C-day-10,pre-depletion,1,2.44E-06,8.21E-01,very low
136,120C-day-10,pre-depletion,2,0.04,2.40E-06,very low
137,120C-day-10,pre-depletion,2,0.01,2.66E-05,very low
138,120C-day-10,pre-depletion,2,0.0025,1.00E-05,very low
139,120C-day-10,pre-depletion,2,0.000625,4.23E-05,very low
140,120C-day-10,pre-depletion,2,0.0001563,7.69E-02,very low
141,120C-day-10,pre-depletion,2,3.91E-05,4.92E-01,very low
142,120C-day-10,pre-depletion,2,9.77E-06,7.29E-01,very low
143,120C-day-10,pre-depletion,2,2.44E-06,9.27E-01,very low
144,120C-day-10,post-depletion,1,0.04,3.80E-02,very low
145,120C-day-10,post-depletion,1,0.01,1.26E-01,very low
146,120C-day-10,post-depletion,1,0.0025,2.12E-01,very low
147,120C-day-10,post-depletion,1,0.000625,3.82E-01,very low
148,120C-day-10,post-depletion,1,0.0001563,5.20E-01,very low
149,120C-day-10,post-depletion,1,3.91E-05,7.93E-01,very low
150,120C-day-10,post-depletion,1,9.77E-06,9.21E-01,very low
151,120C-day-10,post-depletion,1,2.44E-06,9.29E-01,very low
152,120C-day-10,post-depletion,2,0.04,2.62E-02,very low
153,120C-day-10,post-depletion,2,0.01,1.12E-01,very low
154,120C-day-10,post-depletion,2,0.0025,1.98E-01,very low
155,120C-day-10,post-depletion,2,0.000625,3.32E-01,very low
156,120C-day-10,post-depletion,2,0.0001563,4.83E-01,very low
157,120C-day-10,post-depletion,2,3.91E-05,7.56E-01,very low
158,120C-day-10,post-depletion,2,9.77E-06,8.80E-01,very low
159,120C-day-10,post-depletion,2,2.44E-06,1.01E+00,very low
160,180C-day-36,pre-depletion,1,0.04,2.00E-05,very low
161,180C-day-36,pre-depletion,1,0.01,2.11E-05,very low
162,180C-day-36,pre-depletion,1,0.0025,1.00E-05,very low
163,180C-day-36,pre-depletion,1,0.000625,2.95E-06,very low
164,180C-day-36,pre-depletion,1,0.0001563,1.39E-01,very low
165,180C-day-36,pre-depletion,1,3.91E-05,6.10E-01,very low
166,180C-day-36,pre-depletion,1,9.77E-06,8.19E-01,very low
167,180C-day-36,pre-depletion,1,2.44E-06,1.00E+00,very low
168,180C-day-36,pre-depletion,2,0.04,8.80E-06,very low
169,180C-day-36,pre-depletion,2,0.01,1.56E-05,very low
170,180C-day-36,pre-depletion,2,0.0025,6.38E-06,very low
171,180C-day-36,pre-depletion,2,0.000625,4.42E-03,very low
172,180C-day-36,pre-depletion,2,0.0001563,1.80E-01,very low
173,180C-day-36,pre-depletion,2,3.91E-05,5.70E-01,very low
174,180C-day-36,pre-depletion,2,9.77E-06,8.70E-01,very low
175,180C-day-36,pre-depletion,2,2.44E-06,9.71E-01,very low
176,180C-day-36,post-depletion,1,0.04,3.58E-02,very low
177,180C-day-36,post-depletion,1,0.01,1.24E-01,very low
178,180C-day-36,post-depletion,1,0.0025,2.39E-01,very low
179,180C-day-36,post-depletion,1,0.000625,3.63E-01,very low
180,180C-day-36,post-depletion,1,0.0001563,5.84E-01,very low
181,180C-day-36,post-depletion,1,3.91E-05,8.34E-01,very low
182,180C-day-36,post-depletion,1,9.77E-06,9.27E-01,very low
183,180C-day-36,post-depletion,1,2.44E-06,1.05E+00,very low
184,180C-day-36,post-depletion,2,0.04,3.92E-02,very low
185,180C-day-36,post-depletion,2,0.01,1.02E-01,very low
186,180C-day-36,post-depletion,2,0.0025,2.39E-01,very low
187,180C-day-36,post-depletion,2,0.000625,3.60E-01,very low
188,180C-day-36,post-depletion,2,0.0001563,5.90E-01,very low
189,180C-day-36,post-depletion,2,3.91E-05,8.29E-01,very low
190,180C-day-36,post-depletion,2,9.77E-06,9.34E-01,very low
191,180C-day-36,post-depletion,2,2.44E-06,9.73E-01,very low
